scenario,year,clusterId,startDate,endDate,crashDays,featureAsOfDate,featureObservationCount,filled,fillCount,outcomeClass,marginalEndingBtc,fullEndingBtc,withoutEndingBtc,clusterTopRank,v3TrendScore,bearLock,baselineTargetExposure,priceVsMA200,ma200Slope30,ema15,ema30,ema15VsEma30,drawdown365,ma200Deviation,rv30,volatilityCap,preCrash7dReturn,preCrash30dReturn,preCrash7dRealizedVol,consecutiveDown3,consecutiveDown5,consecutiveDown7,preCrash30dHighDrawdown,preCrash90dHighDrawdown,fundingLastRate,fundingMean7dAvailable,fundingMedian7dAvailable,fundingPositiveShare7d,fundingEvents7dAvailable,fundingExpectedSlots7d,fundingCoverageRatio7d,fundingStatus7d
"curve_mild","2024","crash-2024-12-05","2024-12-05","2024-12-05","[""2024-12-05""]","2024-12-04","1583","true","1","profitable","0.0027628056112150023","1.3999098900113864","1.3971470844001714","9","3","false","0.975937949994868","0.4629824257719086","0.06366861769999566","94987.55806471632","90078.10335349783","0.05450219896340491","-0.0024693251001673966","0.4629824257719086","0.6147931843445119","0.975937949994868","0.029259978629741612","0.4565797485421057","0.30450991489862006","false","false","false","-0.0024693251001673966","-0.0024693251001673966","0.00027238","0.0001302478947368421","0.0001","1","19","21","0.9047619047619048","partial"
"curve_aggressive","2024","crash-2024-12-05","2024-12-05","2024-12-05","[""2024-12-05""]","2024-12-04","1583","true","1","profitable","0.005314624216233854","1.4522557251741064","1.4469411009578725","12","3","false","0.975937949994868","0.4629824257719086","0.06366861769999566","94987.55806471632","90078.10335349783","0.05450219896340491","-0.0024693251001673966","0.4629824257719086","0.6147931843445119","0.975937949994868","0.029259978629741612","0.4565797485421057","0.30450991489862006","false","false","false","-0.0024693251001673966","-0.0024693251001673966","0.00027238","0.0001302478947368421","0.0001","1","19","21","0.9047619047619048","partial"
"curve_mild","2024","crash-2024-12-09","2024-12-09","2024-12-09","[""2024-12-09""]","2024-12-08","1587","true","1","profitable","0.0007817005966694879","1.3999098900113864","1.399128189414717","19","3","false","1.0725635541780025","0.48543299794661654","0.07009915524695365","96944.66085484026","92311.57947568982","0.05018960140716211","0","0.48543299794661654","0.5594074100903339","1.0725635541780025","0.04027526017141159","0.32153751202856307","0.3618134590792582","false","false","false","0","0","0.0001","0.0001607719047619047","0.0001","1","21","21","1","complete"
"curve_aggressive","2024","crash-2024-12-09","2024-12-09","2024-12-09","[""2024-12-09""]","2024-12-08","1587","true","1","profitable","0.001581658678999398","1.4522557251741064","1.450674066495107","22","3","false","1.0725635541780025","0.48543299794661654","0.07009915524695365","96944.66085484026","92311.57947568982","0.05018960140716211","0","0.48543299794661654","0.5594074100903339","1.0725635541780025","0.04027526017141159","0.32153751202856307","0.3618134590792582","false","false","false","0","0","0.0001","0.0001607719047619047","0.0001","1","21","21","1","complete"
"curve_mild","2024","crash-2024-12-18","2024-12-18","2024-12-20","[""2024-12-18"",""2024-12-20""]","2024-12-17","1596","true","2","profitable","0.0025504732258918583","1.3999098900113864","1.3973594167854946","10","3","false","1.25","0.5250038054760167","0.07544763109022545","100955.30202325819","96760.04104671135","0.04335737078203139","0","0.5250038054760167","0.43062995959988465","1.3933076104539586","0.09834215555391435","0.18132482896370772","0.3789114790562237","false","false","false","0","0","0.0001","0.00010338952380952381","0.0001","1","21","21","1","complete"
"curve_aggressive","2024","crash-2024-12-18","2024-12-18","2024-12-20","[""2024-12-18"",""2024-12-20""]","2024-12-17","1596","true","2","profitable","0.005769873720462115","1.4522557251741064","1.4464858514536443","9","3","false","1.25","0.5250038054760167","0.07544763109022545","100955.30202325819","96760.04104671135","0.04335737078203139","0","0.5250038054760167","0.43062995959988465","1.3933076104539586","0.09834215555391435","0.18132482896370772","0.3789114790562237","false","false","false","0","0","0.0001","0.00010338952380952381","0.0001","1","21","21","1","complete"
"curve_mild","2025","crash-2025-01-07","2025-01-07","2025-01-07","[""2025-01-07""]","2025-01-06","1616","true","1","losing","-0.0004063039102950583","1.3999098900113864","1.4003161939216815","36","3","false","1.25","0.41083548975849826","0.06677941824516354","97416.41759577073","96790.88474737316","0.006462724770315287","-0.03658316243604276","0.41083548975849826","0.45174741109621563","1.3281758461969553","0.10420453001549124","0.023550341194017443","0.27263125072053257","false","false","false","-0.03658316243604276","-0.03658316243604276","0.0001","0.00010296157894736845","0.0001","1","19","21","0.9047619047619048","partial"
"curve_aggressive","2025","crash-2025-01-07","2025-01-07","2025-01-07","[""2025-01-07""]","2025-01-06","1616","true","1","losing","-0.00033904941269247146","1.4522557251741064","1.4525947745867989","33","3","false","1.25","0.41083548975849826","0.06677941824516354","97416.41759577073","96790.88474737316","0.006462724770315287","-0.03658316243604276","0.41083548975849826","0.45174741109621563","1.3281758461969553","0.10420453001549124","0.023550341194017443","0.27263125072053257","false","false","false","-0.03658316243604276","-0.03658316243604276","0.0001","0.00010296157894736845","0.0001","1","19","21","0.9047619047619048","partial"
"curve_mild","2025","crash-2025-01-13","2025-01-13","2025-01-13","[""2025-01-13""]","2025-01-12","1622","true","1","profitable","0.0041390798871421275","1.3999098900113864","1.3957708101242443","5","2","false","1","0.286329333529755","0.06651634579765764","95868.62486654255","96087.57868818087","-0.002278690176478082","-0.10985622213402901","0.286329333529755","0.45343928360517094","1.3232201569073705","-0.039041883425675494","-0.0684779232213305","0.5920152462187122","false","false","false","-0.10985622213402901","-0.10985622213402901","0.0001","0.00003680571428571429","0.0001","0.7142857142857143","21","21","1","complete"
"curve_aggressive","2025","crash-2025-01-13","2025-01-13","2025-01-13","[""2025-01-13""]","2025-01-12","1622","true","1","profitable","0.007117345452605672","1.4522557251741064","1.4451383797215007","6","2","false","1","0.286329333529755","0.06651634579765764","95868.62486654255","96087.57868818087","-0.002278690176478082","-0.10985622213402901","0.286329333529755","0.45343928360517094","1.3232201569073705","-0.039041883425675494","-0.0684779232213305","0.5920152462187122","false","false","false","-0.10985622213402901","-0.10985622213402901","0.0001","0.00003680571428571429","0.0001","0.7142857142857143","21","21","1","complete"
